2026-08-28 21:49:23 — INFO — GET /static/images/apple-touch-icon.png — 127.0.0.1
2026-08-28 21:57:47 — INFO — GET /cases/ — 127.0.0.1
2026-08-28 21:57:47 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 21:57:47 — INFO — GET /static/images/logo-small.png — 127.0.0.1
2026-08-28 21:57:47 — INFO — GET /static/js/main.js — 127.0.0.1
2026-08-28 21:57:47 — INFO — GET /static/images/case-reclamation.svg — 127.0.0.1
2026-08-28 21:57:47 — INFO — GET /static/images/case-hr.svg — 127.0.0.1
2026-08-28 21:57:47 — INFO — GET /static/images/case-smm.svg — 127.0.0.1
2026-08-28 21:57:47 — INFO — GET /static/images/case-bond.svg — 127.0.0.1
2026-08-28 21:57:47 — INFO — GET /static/images/case-orderhunter.svg — 127.0.0.1
2026-08-28 22:01:38 — INFO — GET /cases/ai-hr-assistant/ — 127.0.0.1
2026-08-28 22:01:38 — INFO — GET /cases/ — 127.0.0.1
2026-08-28 22:02:27 — INFO — GET /cases/ — 127.0.0.1
2026-08-28 22:02:27 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 22:02:27 — INFO — GET /static/images/logo-small.png — 127.0.0.1
2026-08-28 22:02:27 — INFO — GET /static/js/main.js — 127.0.0.1
2026-08-28 22:02:27 — INFO — GET /static/images/case-reclamation.svg — 127.0.0.1
2026-08-28 22:02:27 — INFO — GET /static/images/case-hr.svg — 127.0.0.1
2026-08-28 22:02:27 — INFO — GET /static/images/case-smm.svg — 127.0.0.1
2026-08-28 22:02:27 — INFO — GET /static/images/case-bond.svg — 127.0.0.1
2026-08-28 22:02:27 — INFO — GET /static/images/case-orderhunter.svg — 127.0.0.1
2026-08-28 22:02:27 — INFO — GET /static/images/favicon.png — 127.0.0.1
2026-08-28 22:02:27 — INFO — GET /static/images/apple-touch-icon.png — 127.0.0.1
2026-08-28 22:02:37 — INFO — GET /cases/ai-hr-assistant/ — 127.0.0.1
2026-08-28 22:02:37 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 22:02:37 — INFO — GET /static/images/logo-small.png — 127.0.0.1
2026-08-28 22:02:37 — INFO — GET /static/images/case-hr.svg — 127.0.0.1
2026-08-28 22:02:37 — INFO — GET /static/js/main.js — 127.0.0.1
